Exercise Name,Main Muscle Groups,Experience Level,Focus Type,Equipment,Description,Tutorial
Dumbbell Step-Up,"Upper Legs, Lower Legs, Glutes",Intermediate,"Strength, Compound",Dumbbell,The dumbbell step-up exercise builds strength and develops coordination in the upper leg and glute areas,"('Place a bench, box or step in front of you.', 'Grasp a dumbbell in each hand.', 'With your left leg, step up on the bench, follow with your right leg.', 'Step down with your left leg and then your right leg.', 'Repeat starting with your right leg.', 'Use a lighter weight until you are used to the motion of this exercise.')"
Dumbbell Wrist Curl (Palms Up),Forearms,Beginner,"Strength, Isolation",Dumbbell,No Description,"('Start by picking up a dumbbell in each hand while kneeling over a bench.', 'With your palms facing upwards flex each forearm by lifting and lowering the dumbbell with only your wrist.', 'Exhale while raising your wrist.', 'Inhale while lowering your wrist.  ', 'Repeat for the desired amount of reps and sets.')"
Cable Reverse Fly,Shoulders,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up handles on two low pulley cable machines, stand in between the machines and grab the handles with opposite hands.', 'Bend down so that your back is parallel with the ground and bring the handles right below your chest at around knee level.', 'Then slowly extend your arms out, squeezing your shoulders so that your arms at head level and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable One-Arm Seated Row,"Back, Biceps, Triceps",Beginner,"Strength, Compound, Strength",Machine - Strength,No Description,"('Start off sitting on the floor or on bench facing a low pulley seated cable row.', 'Keep your body straight up and feet positioned on the foot rests in front of you.', 'Grab the handle attached to the machine with an overhand grip and slowly pull back towards your side twisting with your wrists.', 'Squeeze your back muscles as you pull in and hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Reverse Lunge,"Upper Legs, Glutes, Lower Legs",Intermediate,"Strength, Compound",Dumbbell,No Description,"('To begin this exercise; stand upright holding dumbbells in both hands, keeping your hands by your sides.', 'With both dumbbells in your hands, take a step backward with your right leg and lower your upper body down, maintaining your balance on the descent. ', 'Do not let your right knee touch the ground as you lower yourself and hold for a few seconds.', 'Then push back up on your left leg and return back to the starting position and repeat with the opposite leg', 'Repeat this exercise for as many repetitions as needed')"
Machine Reverse Lat Pulldown (Close Grip),"Back, Biceps, Shoulders",Beginner,"Strength, Compound, Strength",Machine - Strength,No Description,"('Start by attaching a lat pulldown machine and grabbing it with a reverse grip so that your palms are facing towards you.', 'Keeping your back straight and body still, slowly pull the v-bar down till it almost hits the top of your chest, squeezing with your lats and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell One-Arm Tricep Extension,Triceps,Beginner,"Strength, Isolation",Dumbbell,The dumbbell standing one arm triceps extension is a single arm version of the behind the neck tricep exercise that targets and builds bigger arms,"('Start off standing with your feet shoulder width apart, your back straight and your abs drawn in.', 'Hold a dumbbell in your right hand with your palms facing up.', 'Raise the dumbbell over your head and slowly lower the dumbbell in an arc behind your head, so that the dumbbell lines up with your spine.', 'Hold this position for a count.', 'Slowly raise the dumbbell back up to the starting position.', 'Switch arms and repeat for as many reps and sets as desired.')"
Barbell Tricep Extension,Triceps,Intermediate,"Strength, Isolation",Barbell,No Description,"('Lie down on a bench with your head at one end.', 'Grasp a barbell with an underhand grip.', 'Move your arms beyond your head and keep them in a straight line.', 'Bending only your elbows, slowly lower and raise the barbell.')"
Cable Rope High Pulley Tricep Extension,Triceps,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up a high cable pulley machine with a rope extension and stand with your back facing the machine, grabbing the rope with a neutral grip.', 'Bend down at the waist so that your body is almost parallel with the floor and keep a staggered position so that one leg is in front of the other.', 'Keeping your hands close together, push the rope out in front of you until your arms are fully extended, squeezing your triceps and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Weighted Crunch,Core,Beginner,"Strength, Isolation",Weight Plate,No Description,"('Start by laying flat on your back on the ground and feet rested at a 90 degree angle on a bench.', 'Hold a weight to your chest or extended out in front of you, then slowly elevate your shoulders off of the floor while your lower back keeps you positioned on the floor.', 'As soon as you feel tension in your abs, squeeze and hold for a few seconds, release and return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Parallel Bar Hip Raise,Core,Intermediate,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start with body in a vertical leg position with your forearms resting on the pads and your hands holding onto the handles.', 'Keep your back pressed firm against the pad.', 'Take your legs and lift them up and keep your knees bent on the way up while exhaling. ', 'As your legs reach parallel to your chest, hold for a few seconds, squeezing your abdominals. ', 'Do not swing your legs as this reduces the positive effect of the exercise.', 'The release your legs back down to the starting position as you inhale.', 'Repeat this exercise for as many repetitions as needed.')"
Dumbbell Zottman Curl,"Biceps, Forearms",Intermediate,"Strength, Isolation",Dumbbell,The dumbbell zottman curl is an advanced dumbbell bicep exercise where you turn the palms up (supination) and then down (pronation) at the top of the movement,"('Start off standing with your feet shoulder-width apart, your knees slightly bent and abs drawn in.', 'Grab a dumbbell in each hand with your palms facing each other and hands at your sides.', 'Curl your arms up turning your palms so they are facing down as the dumbbells reach your chest, squeezing your bicep muscles.', 'Pause for a moment, then turn the palms down (facing the floor) and then return to the starting position as you maintain that position.', 'Repeat for as many reps and sets as desired.')"
